[2025-07-11T17:30:45,577Z] <load-db-privacy-tokens> DEBUG tasks  - Started task[load-db-privacy-tokens]
[2025-07-11T17:30:48,335Z] <load-db-privacy-tokens> DEBUG tasks  - Finished task[load-db-privacy-tokens] in 2765 ms
[2025-07-11T17:30:50,699Z] <launcher> INFO  tasks  - Pre-started 1 threads for stat-processor
[2025-07-11T17:30:53,607Z] <launcher> INFO  tasks  - [UIDB] Updated UiDb snapshot version: e65789c99248b37a6a02b963aed2e4d10a835714
[2025-07-11T17:30:53,641Z] <ModelLifecycleManager-startStop> DEBUG tasks  - Started task[ModelLifecycleManager-startStop]
[2025-07-11T17:30:53,643Z] <ModelLifecycleManager-startStop> DEBUG tasks  - Finished task[ModelLifecycleManager-startStop] in 2 ms
[2025-07-11T17:30:53,679Z] <refresh-fingerprint-ml-support> DEBUG tasks  - Started task[refresh-fingerprint-ml-support]
[2025-07-11T17:30:53,690Z] <refresh-fingerprint-ml-support> DEBUG tasks  - Finished task[refresh-fingerprint-ml-support] in 11 ms
[2025-07-11T17:30:54,542Z] <cloudaccess-connect> DEBUG tasks  - Started task[cloudaccess-connect]
[2025-07-11T17:30:54,543Z] <model-lifecycle-cache-refresh> DEBUG tasks  - Started task[model-lifecycle-cache-refresh]
[2025-07-11T17:30:54,546Z] <cloudaccess-connect> DEBUG tasks  - Finished task[cloudaccess-connect] in 4 ms
[2025-07-11T17:30:54,547Z] <launcher> INFO  tasks  - Scheduling periodic time-series task to run every 5 minutes starting from Fri Jul 11 17:35:00 UTC 2025
[2025-07-11T17:30:54,571Z] <tracer> DEBUG tasks  - Started task[tracer]
[2025-07-11T17:30:54,575Z] <tracer> DEBUG tasks  - Finished task[tracer] in 4 ms
[2025-07-11T17:30:54,731Z] <load-app-state-log> DEBUG tasks  - Started task[load-app-state-log]
[2025-07-11T17:30:54,735Z] <load-app-state-log> DEBUG tasks  - Finished task[load-app-state-log] in 4 ms
[2025-07-11T17:30:54,972Z] <model-lifecycle-cache-refresh> DEBUG tasks  - Finished task[model-lifecycle-cache-refresh] in 429 ms
[2025-07-11T17:30:59,435Z] <ble_state_check> DEBUG tasks  - Started task[ble_state_check]
[2025-07-11T17:30:59,436Z] <ble_state_check> DEBUG tasks  - Finished task[ble_state_check] in 1 ms
[2025-07-11T17:30:59,445Z] <cache-warmup> DEBUG tasks  - Started task[cache-warmup]
[2025-07-11T17:30:59,445Z] <cache-warmup> DEBUG tasks  - 	warming up FIREWALL_POLICIES
[2025-07-11T17:30:59,448Z] <cache-warmup> DEBUG tasks  - Finished task[cache-warmup] in 3 ms
[2025-07-11T17:30:59,575Z] <tracer> DEBUG tasks  - Started task[tracer]
[2025-07-11T17:30:59,575Z] <tracer> DEBUG tasks  - Finished task[tracer] in 0 ms
[2025-07-11T17:31:03,487Z] <device-state-check> DEBUG tasks  - Started task[device-state-check]
[2025-07-11T17:31:03,489Z] <device-state-check> DEBUG tasks  - Finished task[device-state-check] in 3 ms
[2025-07-11T17:31:04,435Z] <ble-load-keystore> DEBUG tasks  - Started task[ble-load-keystore]
[2025-07-11T17:31:04,438Z] <ble_state_check> DEBUG tasks  - Started task[ble_state_check]
[2025-07-11T17:31:04,438Z] <ble_state_check> DEBUG tasks  - Finished task[ble_state_check] in 0 ms
[2025-07-11T17:31:04,540Z] <stamgr> DEBUG tasks  - Started task[stamgr]
[2025-07-11T17:31:04,541Z] <stamgr> DEBUG tasks  - Finished task[stamgr] in 1 ms
[2025-07-11T17:31:04,543Z] <wss-connection> DEBUG tasks  - Started task[wss-connection]
[2025-07-11T17:31:04,543Z] <wss-connection> DEBUG tasks  - Finished task[wss-connection] in 0 ms
[2025-07-11T17:31:04,576Z] <tracer> DEBUG tasks  - Started task[tracer]
[2025-07-11T17:31:04,576Z] <tracer> DEBUG tasks  - Finished task[tracer] in 0 ms
[2025-07-11T17:31:04,625Z] <ble-load-keystore> DEBUG tasks  - Finished task[ble-load-keystore] in 190 ms
[2025-07-11T17:31:04,731Z] <webrtc-connection> DEBUG tasks  - Started task[webrtc-connection]
[2025-07-11T17:31:04,732Z] <webrtc-connection> DEBUG tasks  - Finished task[webrtc-connection] in 0 ms
[2025-07-11T17:31:09,439Z] <ble_state_check> DEBUG tasks  - Started task[ble_state_check]
[2025-07-11T17:31:09,439Z] <ble_state_check> DEBUG tasks  - Finished task[ble_state_check] in 1 ms
[2025-07-11T17:31:09,543Z] <ips-alert-caching> DEBUG tasks  - Started task[ips-alert-caching]
[2025-07-11T17:31:09,547Z] <ips-alert-caching> DEBUG tasks  - Finished task[ips-alert-caching] in 4 ms
[2025-07-11T17:31:09,576Z] <tracer> DEBUG tasks  - Started task[tracer]
[2025-07-11T17:31:09,576Z] <tracer> DEBUG tasks  - Finished task[tracer] in 0 ms
[2025-07-11T17:31:14,439Z] <ble_state_check> DEBUG tasks  - Started task[ble_state_check]
[2025-07-11T17:31:14,439Z] <ble_state_check> DEBUG tasks  - Finished task[ble_state_check] in 0 ms
[2025-07-11T17:31:14,577Z] <tracer> DEBUG tasks  - Started task[tracer]
